Title,Artist,Lyrics
Fuck You,Dr. Dre feat. Devin The Dude & Snoop Dogg,"Hi, baby
I know you're under a lot of pressure at your work and all
And I do understand
You have no idea how much I understand
But you also don't have any idea how much I love you
I love you so much
I think about you, I feel you in my arms
I miss you... I miss you terribly
I've just always wanted someone like you in my life
I love you so much that I'd do anything
I'd do anything
I'll be your perfect woman for you

I just wanna fuck bad bitches
All them nights I never had bitches
Now I'm all up in that ass, bitches
Mad at your boyfriend, ain't 'cha?
You'se a bad girl, gotta spank you
And gotta thank ya for that head clinic
Explicit, hella photogenic
And tell your friends where the dick's at

Where they can get hit and won't get back to they soulmate
Before you kiss 'em, use Colgate
She swallowed it, yeah, the bitch took the whole eight
And ran with it, then let Mel-Man hit it
And Hittman hit it, damn, bitches
Man, this is what I'm talkin' 'bout
Chicken head, chicken fed, with a dick in your mouth
..."
Kush (feat. Snoop Dogg & Akon),Dr. Dre feat. Snoop Dogg & Akon,"Roll up, wait a minute
Let me put some kush up in it
Roll up, wait a minute
Let me put some kush up in it

Roll up, wait a minute
Let me put some kush up in it
Roll up, wait a minute
Let me put some kush up in it

Now it's that puff, puff, pass shit, Cheech and Chong grass shit
Blunts to the head, kush pillows, no mattress
Speed boat traffic, bitches automatic
Cross that line, fuck around, and get yo' ass kicked
We roll shit that burn slow as fucking molasses
Probably won't pass it, smoke it 'til the last hit
Down to the ashes, Mary J. a bad bitch
Andre 3001, another classic
Go ahead ask him bitches
'Bout how I be smokin' out, party all night, oh yeah, it's goin' down
Order rounds, we smoke a quarter pound of that good stuff
Oh yeah, we smokin' all night
Yeah, puff, puff, pass that shit right here, nigga
better than my last batch
Caramel complexion and her ass fat

Inhale, exhale
Inhale, exhale

I know you tryin' to get high
..."
"ETA (with Snoop Dogg, Busta Rhymes & Anderson .Paak)","Dr. Dre feat. Snoop Dogg, Busta Rhymes & Anderson .Paak","Ay, I think my shit kicking in

What's the fuckin' key of the song, nigga?
What's the ETA on the blunt?
Yeah, on life, nigga, like
Alright, come on, let's get serious

Yeah, been around, versatile, South of France, Rosecrans
Pin 'em up, knock 'em down, baby, I don't hold hands (whoa)
Big booty, little dog, jogging by Kenneth Hahn
Tryna get her fitness on, bitch, just hop in the car
Uh, I been around, marathon, Compton to Avalon
Me and Anderson, this is like Royal Tenenbaums
No one goes to cinemas, so we on demand
They want a hologram, it's TikTok and dances

Big shot, been the bomb, make me reminisce upon
I remember me and Dogg, swap meet, Dickies on
When was that? In '93?
You probably wasn't even born
Dre, I think you need to the trade Range for the '64
Shit, I've been going back and forth
..."
Bounce,Timbaland feat. Missy Elliott & Justin Timberlake & Dr. Dre,"(Tempo has reached critical level)
(Tempo has reached critical level)

Huh... Bounce
ooh I like you
Bounce

C'mere girl, c'mere girl, c'mere girl, Bounce
C'mere girl, c'mere girl, c'mere girl, Bounce
C'mere girl, c'mere girl, c'mere girl, Bounce
C'mere girl, c'mere girl, let me talk to you

Let me see them big titties, don't act saddity you ain't pretty
Break bread if you wanna get wit' me, all I wanna do is dig off in them kidneys
Tell ya boyfriend he better mind his business,
'fore he end up in the trunk of my Bentley
I am still a boss, he can't hit me, he ain't got enough paper to deal wit' me
Baby girl wanna two step wit' me, turn around rub ya ass up against me
Whoa, lil' mama done got tipsy, and then tonight, tomorrow you're history
All you haters wit' that hoe sh*t miss me, I stay strapped security don't frisk me
Set it off 'til this muthafu*ka empty,
I turn around do the same sh*t next week
Come on

..."
Keep Their Heads Ringing,Friday/Dr. Dre,"(Buck buck buck buck booyakasha!) x4
Keep their heads ringin'!
(Ring ding dong
Ring-a-ding ding ding dong)
(Hey you! Sittin over there)
Say what?
(You better get up out of your chair)
That's right
(And work your body down)
Yeah
(No time to funk around, cause we gon')
Funk you right on up
So get up: get a move on and get your groove on
It's the D-R-E the spectacular
In a party I go for your neck, so call me ""Blacula""
As I drain a nigga's jugular vein
And maintain to leave blood stains, so don't complain
Just chill! Listen to the beats I spill
I use Crest
So ain't no cavity creeps in my grill
Still, niggas run up and try to kill at will
But get popped like a pimple: so call me Clearasil
I wipe niggas off the face of the Earth since birth
..."
Still D.R.E.,Dr. Dre,"Still Snoop Dogg and D-R-E
(Guess who's back)
Still, still doing that sh-, huh Dre?
Oh, for sure, yeah, check me out

It's still Dre Day (ah), A.K. (ah)
Though I've grown a lot, can't keep it home a lot
'Cause when I frequent the spots that I'm known to rock
You hear the bass from the trunk when I'm on the block
Ladies, they pay homage, but haters say Dre fell off
How n-? My last album was The Chronic
They wanna know if he still got it
They say rap's changed, they wanna know how I feel about it
(If you ain't up on thangs)

Dr. Dre is the name, I'm ahead of my game
Still, puffin' my leafs, still f- with the beats
Still not lovin' police (Uh huh)
Still rock my khakis with a cuff and a crease
Still got love for the streets, repping 213
Still the beat bangs, still doing my thang
Since I left, ain't too much changed, still

I'm representin' for the gangsters all across the world
Still, hittin' them corners in them low-low's girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D-R-E

I'm representin' for the gangsters all across the world
Still, hittin' them corners in them low-low's girl
Still takin' my time to perfect the beat
And I still got love for the streets, it's the D-R-E

Since the last time you heard from me I lost some friends
..."
Medicine Man,"Dr. Dre feat. Eminem, Candice Pillay & Anderson .Paak","Doc, Doctor Dre, you gotta give us some good news!
Yeah, about that...

Don't let 'em find out, the bitch in you
Don't let 'em find out, the snitch in you

Fame and fortune, it's not your forte
Fuck the world now, I'm done with foreplay
Doctor's orders
Go fuck yourself
Take two of these in the morning, overdose and kill yourself
Doctor's orders...

Listen, this is my evaluation
This shit over saturated, y'all can get evacuated
Kids sipping Actavis and they ain't even activated
Married to the internet, stuck in place, salivating
Ain't nobody graduating
Don't nobody love this shit the way I love it
That's why I gotta hate it
Everybody out for fame, that ain't no exaggeration
Damn I'm getting aggravated, fuck, I'm getting agitated
Teachers so underpaid in these fucking schools
The police got our name in all they databases
Girls be thirteen acting twenty-two
Niggas be forty-four acting half they ages
Somebody tell me, what the fuck is going on?
These niggas in tight shit, I'm in the fucking Matrix
It's looking like a sign of the revelation
'Bout time of the return of the fuckin' greatest
I got all these patients man
How come they ain't patient with me?
They just think I want the money, why?
When I can't take it with me
..."
California Love - Original Version,2Pac feat. Dr. Dre & Roger Troutman,"California love!

California... knows how to party
California... knows how to party
In the citaaay of L.A.
In the citaaay of good ol' Watts
In the citaaay, the city of Compton
We keep it rockin! We keep it rockin!

Now let me welcome everybody to the wild, wild west
A state that's untouchable like Elliot Ness
The track hits ya eardrum like a slug to ya chest
Pack a vest for your Jimmy in the city of sex
We in that sunshine state with a bomb ass hemp beat
the state where ya never find a dance floor empty
And pimps be on a mission for them greens
lean mean money-makin-machines servin fiends
I been in the game for ten years makin rap tunes
ever since honeys was wearin sassoon
Now it's '95 and they clock me and watch me
Diamonds shinin lookin like I robbed Liberace
It's all good, from Diego to tha Bay
Your city is tha bomb if your city makin pay
Throw up a finger if ya feel the same way
Dre puttin it down for
Californ-i-a

California... knows how to party
California... knows how to party
In the citaaay of L.A.
In the citaaay of good ol' Watts
..."
Darkside/Gone,"Dr. Dre feat. Mez, Marsha Ambrosius & Kendrick Lamar","Where you at? where you from?
What you doing over here motherfucker?
Whatchu think? what you bang?
This ain't your motherfuckin gang

Now I ain't never been no gangsta
But I know niggas know niggas from the darkside
There's some cold killas cold niggas
My nigga used to roll with us roll with us
Married to the more money more women
Now I ain't ever been the one to pull a gun on you
But you know I got 'em
No I never sell no drugs homie but I know who got 'em
And I never had no fucking bullets in me but I know who got 'em
If you die tonight, you die tonight
Momma might cry to night if she find you high off of dynamite
But to you is just another Friday night
Got a nigga for the car tonight
With the bible right beside that pile of white
That's what this life is like
(Now do you love your life?)

Now please don't give me a reason
Cause I know you wanna keep breathing, this evening
I've been killing the game for seasons, believe him
That I'm the motherfucking one to breed them and lead 'em
In a league my own, you ain't even made it up to my throne
You ain't even authorised for this song
Might be best for you to get gone
Just be careful about your tone
That shit can hit me wrong in this song
..."
Genocide,"Dr. Dre feat. Kendrick Lamar, Marsha Ambrosius & Candice Pillay","Stone cold killers in these Compton streets
One hand on the 9, all eyes on me
Murder, murder
Murder, murder
Call 9-1-1, emergency
Hands up in the air for the world to see
It's murder, it's murder
Murder, murder

Murder dem down, kill 'em dead (Yo)
Bullet to the dome, to the head
Murder dem down kill a yout'
Don't fi a pull up on de man and
(Turn me up) What it look like?
See, murder dem down, kill 'em dead (Yo)
Bullets come down from the air
Murder dem down kill a yout'
Don't fi a pull up on de man and
(Turn me up) What it look?

There's the stone cold killers in these Compton streets
One hand on the 9, all eyes on me
Murder, murder
Murder, murder
Call 9-1-1, emergency
Hands up in the air for the world to see
It's murder, it's murder
Murder, murder
Murder
(It's been a 187 in this bitch)
..."
Deep Water,"Dr. Dre feat. Kendrick Lamar, Justus & Anderson .Paak","Where you from nigga? (Help me!)
""What is going on in Compton? I don't understand it""
""Well as it relates to this
This is not in my field as the clerk so anything that relates to this
You'll probably have to get an answer from Dr. Dre""

I heard you talking about respect, I gave you niggas the utmost
All you niggas the utmost
Would you look over Picasso's shoulder
And tell him about his brush strokes?
Them opinions, I don't trust those
I apologize, the city made a nigga so cutthroat
Every hood love me, but it started on one coast
Could've stopped in '86 but I knew that you would want more
I'm on the throne in a place some niggas won't go

(Don't get it fucked up!) Been away from home
But I ain't been gone that long
(All they wanna know is, where you from? Where you from?)
(Where you from, nigga, huh? Compton!)

Psst! This is about where I'm from
I think it's time to take these niggas to the deep water
Yeah, down in the Pacific (The Pacific), representin'
Where them sharks at nigga, down in the deep water

Listen, listen, listen, all you niggas swimming in the info
Go fuck around and drown in the specifics
Always going overboard, used to be my kinfolk
Now you sleeping with the motherfuckin' fishes
(Swimming with the mothefuckin' fishes, what the business?)
These niggas won't let up until they all wet up
(Don't get it fucked up!) Naw, nigga!
Now everybody wanna visit tryna re-up that prescription
(That prescription, yep, yeah, re-up)
..."
The Next Episode (feat. Snoop Dogg),Dr. Dre,"La-da-da-da-dah
It's the m- D-O-double-G
Snoop Dogg!
La-da-da-da-dah
You know I'm mobbin' with the D.R.E.

Yeah, yeah, yeah, yeah
You know who's back up in this, motherfucker!
What? What? What? What?
So b- the w- up then
Just b- that sh- up, n-
Yeah, 'sup Snoop?

Top Dogg, bite 'em all, n- burn the sh- up
D-P-G-C, my n- turn that sh- up
C-P-T, L-B-C, yeah, we hookin' back up
And when they bang this in the club baby you got to get up
Thug n-, d- d-, yeah they givin' it up
Lowlife, yo' life, boy we livin' it up
Takin' chances while we dancin' in the party for sure
Slip my h- a - when she got in the back door

..."
Kush - Main,Dr. Dre feat. Snoop Dogg & Akon,"Hold up, wait a minute (uh-huh, I see)
Let me put some kush up in it (breathe with me now)
Hold up, wait a minute (I see)
Let me put some kush up in it (breathe with me now)
Hold up, wait a minute (I see)
Let me put some kush up in it (breathe with me now)
Hold up, wait a minute (yeah)
Let me put some kush up in it (yeah, yeah)

Now, this that ""puff, puff, pass"" shit, Cheech and Chong glass shit
Blunts to the head, kush pillows, no mattress
Speedboat traffic, bitches automatic
Cross that line, fuck around and get your ass kicked
We roll shit that burn slow as fucking molasses
Probably won't pass it, smoke it 'til the last hit
Down to the ashes, Mary J. a bad bitch
Andre, 3001, another classic (one, one, one)

Go ahead, ask 'em, bitches 'bout how I be smoking out
(Party all night) oh, yeah, it's goin' down
Order rounds, we smoke a quarter pound of that good stuff
Oh yeah, we smokin' all night
Yeah, puff-puff pass that shit right here
Nigga, better than my last batch
Caramel complexion and her ass fat

Inhale, exhale
Inhale, exhale, whoa (let's go)
..."
"Nuthin' but a ""G"" Thang",Dr. Dre feat. Snoop Doggy Dogg,"One, two, three and to the fo'
Snoop Doggy Dogg and Dr. Dre is at the do'
Ready to make an entrance, so back on up
'Cause you know we're 'bout to rip, shit up

Gimme the microphone first, so I can bust like a bubble
Compton and Long Beach together, now you know you in trouble
Ain't nuttin' but a G thang, baby, two loc'ed out niggaz so we're crazy
'Death Row', is the label that pays me
Unfadeable, so please don't try to fade this
(Hell, yeah)

But uhh, back to the lecture at hand
Perfection is perfected, so I'ma let 'em understand
From a young G's perspective and before me dig out
A bitch I have to find a contraceptive

You never know she could be earnin' her man
And learnin' her man and at the same time burnin' her man
Now, you know I ain't with that shit, Lieutenant
Ain't no pussy good enough to get burnt while I'm up in it

And that's realer than real deal Holyfield
And now you hookers and hoes know how I feel
Well, if it's good enough to get broke off a proper chunk
I'll take a small piece of some of that funky stuff

It's like this, and like that, and like this, and uh
It's like that, and like this, and like that, and uh
It's like this, and like that, and like this, and uh
Dre, creep to the mic like a phantom
..."
Let Me Ride,Dr. Dre feat. Jewell,"Biatch!
Eeeh, wha'ppen nuh baby
You look good inna ya car, eeh
Longtime mi watch ya and mi wah chat to ya
And ya a gwaan like ya nuh wah chat to me
So wha'ppen Dre, tell 'em weh di fuck a gwaan nuh

Creepin' down the back street on D's
I got my Glock cocked 'cause niggas want these
No soon as I said it, seems I got sweated
By some nigga with a TEC-9 tryin' to take mine
You wanna make noise? Make noise
I make a phone call, my niggas comin' like the Gotti boys
Bodies bein' found on Greenleaf
With their fuckin' heads cut off, motherfucker, I'm Dre

So listen to the play-by-play, day-by-day
Rollin' in my four with 16 switches
And got sounds for the bitches
Clockin' all the riches, got the hollow points for the snitches
So won't you just walk on by? 'Cause I'm too hard to lift
And no, this ain't Aerosmith
It's the motherfuckin' D-R-E from the CPT
On a rhymin' spree, a straight G

Hop back, as I pop my top, you trip
I let the hollow points commence to pop, pop, pop
Yeah, 'cause if it don't stop
I'll have to put my shit in reverse, go back and take another spot
'Cause I'm-

Rollin' in my six-four
What all the niggas sayin'?

..."
The Message (feat. Mary J. Blige & Rell) [Non],Dr. Dre feat. Mary J. Blige & Rell,"This one is for my brother, Tyree, R.I.P
Oh-oh, listen
A message to God
Oh-oh, no
Oh-oh-oh, hmm

Since you finishin' 'em early, what possessed you to start him?
We made a vow, later we'll regret 'til death do us part
Lord, I thought we was made for each other
You shouldn't connect those made to be taken away from each other
Now, what I'm supposed to do, I'm only half the man that I was
I'll never last 'cause my better half is up there with you
You knew what you was doin' when you made us
So with all due respect, you could'a forgave him, you didn't have to take him

He can take the game with him, 'cause he defines the word
The one who puts the G in it, who you think put me in it?
I'm feelin' like my whole world is blinded, wonderin' why
Cryin', pourin' out my heart, pourin' out liquor behind it
We fought like brothers, somethin' we never should do
We coulda used time spent arguin', tellin' the truth
He had talent too, I had plans on watchin' him grow
Don't know what hurts more, seein' him leave, or watchin' him go

Listen, listen, listen (listen, listen), oh-oh-oh
Listen, listen, listen (better listen), oh-oh-oh
..."
Bitch Niggaz,"Dr. Dre feat. Hittman, Six-Two & Snoop Dogg","That's some good-ass weed
Check it out Dawg...
This game is a motherfuckin' trip man, word on the streets
Everybody always tryin' to run up on me
Hollerin' about word on the streets is this nigga said this
Man I don't give a fuck about what that nigga said man
That's what's wrong with you niggas, you niggas is just like bitches
Hoe ass niggas, talk too motherfuckin' much (Speak...)
Steady your own, get your own
You know what I'm sayin'?
Be independent nigga
Biaaaaatch!!! (Yeah...)

Bitch niggas (Bitch niggas)
Bitch niggas (Bitch niggas)
Bitch ass niggas (Beotch)
Bitch niggas (Bitch niggas)
Yeah I'm talkin' about you (Bitch niggas)
(And you too, hmm...)

Dawg, I meet mo' bitch niggas than hoes
Look here and I really don't know, but that's just how it go (Damn)
Dawg, so many niggas like to keep up shit
And just like a bitch (Bitch), niggas be talkin' shit (Nigga)
Smilin' in my face and then they blast me in the back
Niggas stay strapped from way back, cause payback...
I'll, make niggas wanna pop that shit
If you ain't ready for the game (uh-huh), nigga stop that shit
We rock that shit, my nigga Dre, drop that shit (Right)
No mo' talkn', I'm walkin' and I'm poppin' the clip
..."
3 Kings,Rick Ross,"Yeah, classic hip hop s**t
Dr. D-R-E
Rozay and Jay, let's get 'em

We started out mopping floors
And now we front row at the awards
Number one for the last twenty years
If you real, mothafucka scream cheers!
Mothafucka scream cheers!
Heh, and it is what it is
He wanted to shine at the swap meet
Til the white boys got him in that hot seat
I only love it when her hair long
You should listen to this beat through my headphones
Money long, number one twenty years strong
Fuck a gym, I am him, I'm Andre Young
G5s to 64s, Dre got 'em
If the bitch bad I got her in red bottoms
Great weed, nice homes, bread proper
Tec nine, one chamber, top shotta
Bentley coupe, new yacht, my helicopter
Born broke, real nigga straight out of Compton
The fuck you magazine niggas want from me?
I rewrote the game, nigga, now talk money
All black on my Al Capone s**t
I built a house, nigga get your own s**t
I only love it when her hair long
You should listen to this beat through my headphones

See y'all niggas
Hit the switches on that shit one time, ugh
..."
"Don't Trip (feat. Ice Cube, Dr. Dre & will.i.am)","The Game feat. will.i.am, Dr. Dre & Ice Cube","Yo, Yo, Will.i.am, my nigga. It's your boy Dre. Yo, I don't think people know that you know how to take it to the streets

Check it out now, check it out now
Check it out, uh-huh
It's like that, yeah, it's like that now
It's like that, uh-huh, it's like that now
A black .45, I gotta put it on
That chrome Glock 9, I gotta put it on
That .38 special, I gotta put it on
Never leave the house without the teflon
Hop off the porch like, (""ooh - ooh - ooh - ooh"")

Ooh, that new bounce
New bounce, new bo - don't trip on me
Don't trip on me, don't trip on me
Don't trip on me, don't trip on me
Don't trip on me

Nigga, don't trip
Don't trip, homie
Yeah, I'm the opposite of Crip, homie
You ain't even gotta ask, niggas know me
I make it rain like Tony! Toni! Toné!
Aventador to the corner store, I whip this hard
Compton God, watch 'em jump over cop cars
Yeah, I grew up to N.W.A., nigga
And my grannies whipping yay-yay, nigga

Come on, don't trip, homie
Ice grew up around Crips, homie
Where you motherfuckers find this phony?
Acting hard, he's a tenderoni
The boulevard to the prison yard, I push this cart
Westside rollin', wherever you are
And I been coming up, and ain't none of ya'll niggas running up
Cause I'm quickdraw when I'm gunning up
Boy you know the sun ain't coming up
Layed that ass down
Tryna milk this cash cow
Face down, look at you now
..."
Lil' Ghetto Boy,Dr. Dre feat. Daz & Snoop Dogg,"So, all of you Africans
All of you Africans that know how to do things, that's working for other people
Y'all need to open your own business
Save your money, quit paying motherfuckers for jheri curls
Quit paying motherfuckers for perms
Save your money, start your own business
So all these little Africans will have wa-, places to work
This is our future right here!
This our future right here! (Right there)
This- (the new generation is goin'! The new generation!)
Hey, I'ma tell you right now
If-if-if I have to die today, for this little African right here to have a future
I'm a dead motherfucker! (You right! Respect!)

Wake up, jumped out my bed
Murder was the case that they gave me
Dear God, I wonder, can you save me?
I'm only 18, so I'm a young buck
It's a riot, if I don't scrap, I'm getting stuck
But that's the life of a G, I guess
Eses way deep, shanked two in the chest

Best run 'cause brothers is dropping quicker
Uh, too late, damn, down goes another nigga
Bouncing off the walls, throwing them dogs
Getting that rep as a young hog
It ain't nothing like the street life
You better be strapped with your shank, 'cause ain't no fist fight
So I guess I gots to handle mine
Since I did the crime, I gots to do my time

Them say me grow up to be nothing
..."
Rat-tat-tat-tat,Dr. Dre,"You really don't understand, do you?
Hey man, don't you realize in order for us to make this thing work, man
We've got to get rid of the pimps and the pushers and the prostitutes?
And then start all over again clean
Nigga, is you crazy?

Once again
The mighty Death Row organization commitin' mass murder
And we ain't askin' for shit, nigga, we takin' it
So, Dre, blast they ass, nigga!

Rat-tat-tat-tat late at night with my gat
On the streets of L.A. wonderin' where the pussy at
Straight player, looking for a hoe
Hangin' out, rollin' in my '64
16 switches for the niggas in my hood
17 shells so I make it understood
Stay back, lay back, way back in the cut
You come outside, nigga, you gettin' fucked up

I done told ya, creep-creep, ya best move
Like Luther Vandross, I'm fuckin' up the west coast
I'm right back up in ya when ya nut
One, two, three nut, from the D-R-E but
This is for the hoes that I used to know
When I didn't have my '64 and a lot of dough
I keep it like this and like that, and I
Never hesitate to put a nigga on his back

Rat-tat-tat-tat, tat-ta-tat, like that, and I
..."
Type Shit,"Future feat. Metro Boomin, Travis Scott & Playboi Carti","Yeah, yeah, Pluto

I don't hang with rats, that's some new type shit
Get a nigga whacked on the news, type shit
Sippin' drank and Activis on some Screw, type shit
Just a sad ho runnin' through the crew, type shit
I got a bad bitch at home, voodoo-type shit
Take down Meg Thee Stallion's by the group, type shit

That's some thick shit, I just thought you knew, type shit
I just tricked off, I don't just usually do this type shit
Pockets racked up, all blue, type shit
Bunch of rich niggas, hoes get confused, type shit
Atlanta nigga, I live like Ted Turner, type shit
On camera, knockin' jaws loose, typе shit
I canceled her, kick her out the stu', type shit

A silent hitter, I just keep it cool with you bitches
A solid nigga, countin' dog food, type shit
Movin' through the city with your boo, type shit
She's ready to suck it up like soup, type shit
You goin' against the guys, and you gon' lose, type shit
Pray to God they knock you out your shoes, type shit (type shit)

Pop it, pop it, right up out the blue, type shit
Put the Double O in a mood (mood)
..."
FE!N (feat. Playboi Carti),Travis Scott feat. Playboi Carti,"Just come outside, for the night (yeah)
Take your time, get your light (yeah)
Johnny Dang, yeah, yeah
I been out geekin'
Bitch

FE!N, FE!N, FE!N, FE!N, FE!N (yeah)
FE!N, FE!N, FE!N, FE!N, FE!N (yeah)
FE!N, FE!N, FE!N, FE!N, FE!N
FE!N, FE!N (yeah), FE!N, FE!N, FE!N

The career's more at stake when you in your prime (at stake)
Fuck that paper, baby, my face on the dotted line (dot, yeah)
I been flyin' out of town for some peace of mind (yeah, yeah, bitch)
It's like always they just want a piece of mine (ah)
I been focused on the future, never on right now (ah)
But I'm sippin', not kombucha, either pink or brown (it's lit)
I'm the one that introduced you to the you right now (mm, let's go)
Oh my God, that bitch bite (that bitch bite)
But alright (alright), tryna vibe (tryna vibe this)
In the night, come alive
Ain't asleep, ain't a-, ain't a-, ain't-ain't

..."
Fair Trade (with Travis Scott),Drake feat. Travis Scott,"I don't understand why you blame me
Just take me as I am, it's the same me
We should be (Yeah)
Senseless sight to see
Yeah
Senseless sight to see
Ayy

Feelin' young but they treat me like the OG
And they want the tea on me, I swear these bitches nosey
Said he put some money on my head, I guess we gon' see
I won't put no money on his head, my niggas owe me
I gotta be single for a while, you can't control me
Uno, dos, tres, in a race, they can't hold me
And I show my face in a case so you know it's me
Imitation isn't flattery, it's just annoyin' me
And I'm too about it
And the dirt that they threw on my name
Turned to soil and I grew up out it
Time for y'all to figure out what y'all gon' do about it
Big wheels keep rollin', rollin'

I'm outside, twenty-nine, G5, seaside
I've been losin' friends and findin' peace
But honestly that sound like a fair trade to me
If I ever hurt one and I'm still here
Outside, frontline, Southside
I've been losin' friends and findin' peace
Honestly that sound like a fair trade to me

Look, don't invite me over if you throw another pity party
Lookin' back, it's hard to tell you where I started
I don't know who love me, but I know that it ain't everybody
I can never love her, she a busy body
Baby, if you want me, can't be turnin' up with everybody, nah
Can't be fuckin' on just anybody, yeah
I got feelings for you, that's the thing about it, yeah
You know that it's somethin' when I sing about it, yeah
..."
BUTTERFLY EFFECT,Travis Scott,"All the commas
Murda on the beat so it's not nice
Ooh, hmm

For this life I cannot change (change)
Hidden Hills, deep off in the main (main)
M&M's, sweet like candy cane (cane)
Drop the top, pop it, let it bang (pop it, pop it)

For this life I cannot change
Hidden Hills, deep off in the main
M&M's, sweet like candy cane
Drop the top, pop it, let it bang (pop it, pop it)

Drop the top, play hide and seek (yeah)
Jump inside, jump straight to the league (league)
Take a sip, feel just how I be (it's lit)
On freeway, but no, ain't nothin' free (straight up!)
Bend laws, bend lanes (skrrt, skrrt)
Been bustin' bills, but still, ain't nothin' change (skrrt, skrrt)
You in the mob soon as you rock the chain (mob)
..."
SICKO MODE,Travis Scott,"Astro'
Yeah

Sun is down, freezing cold
That's how we already know winter's here
My dawg would probably do it for a Louis belt
That's just all he know he don't know nothing else
I tried to show 'em, yeah

I tried to show 'em, yeah, yeah

Yeah, yeah, yeah
Going on you with the pick and roll
Young LaFlame, he in sicko mode

(Woo) made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hop in our coupes
This shit way too big, when we pull up gimme the loot (gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two-four hour lockdown, we made no moves
Now it's 4:00 a.m. and I'm back up popping with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really selling fruits
And they choking, man, know the crackers wish it was a noose

Someone said
To win the retreat, we all in too deep
Play-Play-Playing for keeps, don't play us for weak (someone said)
To win the retreat, we all in too deep
Play-Play-Playing for keeps, don't play us for weak

This shit way too formal, ya'll know I don't follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the bootch
..."
Open Arms (feat. Travis Scott),SZA feat. Travis Scott,"When you do your best you ca-, I done told you
When you do your best, hell, that's all you can do
You and me and anybody else
So they always start talkin'

Ooh
Runnin' away from where I'm from
Never can stay with no one
Loving you almost feels like something
When no one's around me, you lost and found me
I was surrounded
With open, open, open

Open arms (ooh)
Open arms, you keep me open
I'm so devoted
You keep me open (ooh)
Open arms
I'm so devoted to you, to you, to you

Spent your life bein' hopeless
..."
Trance (with Travis Scott & Young Thug),Metro Boomin feat. Travis Scott & Young Thug,"Did you forget?
Do it for life
Chicago that time
All bullshit aside
Wonderful vibe
Wonderful night
Did it with Trav
All the kids, you and I
Off in this club
Bumpin and grindin
Who made it flood
You see the signs (signs)

We pulled out the feathers for this type of weather
She pulled to club, to buss up a dub
She came with her man, I called in a sub
She givin' out hugs, we know 'bout them hugs
She put in my hand, don't know what it was
She know some of the fam, but don't know enough
My trust is In God We Trust

Sippin' on wok, don't do tuss
She got her own fans, she need her a bus
Might give her a chance, it's givin' her
Out in a trance it's givin' her
Not on them Xans is givin her
Nigga with bands is givin her
A nigga with plans is givin her
..."
Cinderella,Future feat. Metro Boomin & Travis Scott,"Sip red, sing to the devil (Pluto)
Sip red, sing to the devil (yeah)
Sip red, talk to the devil ('Tro)
Rack, racks don't stuck together
Racks on, racks stuck together
Sip red, talk to the devil
I'm 'bout, I'm 'bout to just, I'm 'bout to, I'm 'bout to
Let's walk on this motherfucker right quick because-

Racks on, racks stuck together
Sip red, talk to the devil (Pluto)
Rosetta stones forever (let's go)
Hot yellow, canary yellow (hot yellow)
Hot chocolate, Cinderella
Trap off a tractor-trailer (tractor)
New paper stuck together
Bad bitch gon' fuck my bezel (for sure)

Strapped up with heavy metal
Sip lean, talk to the devil
Hi-Tech, stay confidential
AP, a presidential
Never go against the ghetto
Stay true, got hoes in Belgium (uh-huh)
New bitch, new car, it's levels (uh-huh)
I piss Codeine on peasants
..."
TKN (feat. Travis Scott),ROSALÍA feat. Travis Scott,"Cosa' de familia, no la' tienen que escucha'
Lo' capo' con lo' capo' y yo soy la mamá
Los secreto' solo con quien pueda' confia'
Más-más te vale no romper la omertá

Hay nivele' para todo en esta vi'a
No jodemo' con persona' desconoci'a'
Ni un amigo nuevo, ni uno haría
Ni un amigo nuevo, ni uno haría

TKN, TKN, TKN
Ni un amigo nuevo, ni uno haría
TKN, TKN
Ni un amigo nuevo, ni uno haría

Zoom en la cara, Gaspar Noé
E'to no dispara', la vacié
VVS, VVS, Dolce Vita
Mi mando está duro, dinamita
..."
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone feat. Ozzy Osbourne & Travis Scott,"Oh, yeah

I feel you crumble in my arms down to your heart of stone
You bled me dry just like the tears you never show
Why don't you take what you want from me?
Take what you need from me
Take what you want and go
Why don't you take what you want from me?
Take what you need from me
Take what you want and go

I never needed anything from you
And all I ever asked was for the truth
You showed your tongue and it was forked in two
Your venom was lethal, I almost believed you
Yeah, you preyed on my every mistake
Waited on me to break, held me under hopin' I would drown
Like a plague, I was wasting away
Tryna find my way out, find my way out

And it finally came the day
I start giving my heart away
..."
